new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,47.678
4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,49.37
3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,49.814
2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,49.914
3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.676
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,54.998
2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,56.402
2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.894
2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,61.282
3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.446
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.532
2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,62.83
2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,63.374
2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,65.942
2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,66.096
2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,66.424
3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,66.672
2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,69.468
2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,72.204
2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,76.47
2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,76.84
4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,79.142
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.744
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,86.526
1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,93.326
1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,93.892
2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,95.386
2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,97.802
2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,98.336
2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,98.59
1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,110.28
1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,117.714
1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,121.212
1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,124.396
1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,143.02
1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,155.414
1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,170.7
1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,194.79
